epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.76586,0,84.7166,0,0,0,0,0,0,21.2468,0,0,0,0
2,9.82503,0,104.111,0,0,0,0,0,0,23.0507,0,1.802e-05,1.802e-05,1.802e-05
3,14.6553,0,69.7404,0,0,0,0,0,0,28.8445,0,3.208e-05,3.208e-05,3.208e-05
4,18.6954,0,61.2388,0,0,0,0,0,0,38.7209,0,4.218e-05,4.218e-05,4.218e-05
5,22.6652,0,52.0487,0,0,0,0,0,0,50.0203,0,4.832e-05,4.832e-05,4.832e-05
6,26.8754,0,49.9207,0,0,0,0,0,0,59.4096,0,5.05e-05,5.05e-05,5.05e-05
7,31.7157,0,44.616,0,0,0,0,0,0,64.2831,0,4.872e-05,4.872e-05,4.872e-05
8,36.5859,0,45.6334,0,0,0,0,0,0,63.4942,0,4.298e-05,4.298e-05,4.298e-05
9,40.9352,0,41.913,0,0,0,0,0,0,60.9346,0,3.328e-05,3.328e-05,3.328e-05
10,45.426,0,41.6761,0,0,0,0,0,0,57.2883,0,1.962e-05,1.962e-05,1.962e-05
